"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"LT",0.247947026172238,0.0419069455201011,0.353482895077451,0.946651181724733,0.888742566858714,0.333807333117074,1,0.105351236459194,0.268266954815531,0.428564754560089,0.661949026097337,0.110142392096479,NA
"IL4",0.0372664207342556,0.0559209770736217,0.0290729723529275,0.641853696755829,0.844397273973383,0.401448721861376,1,0.050609088825226,0.0196392971907339,0.198557646199496,0.0835463803017947,0.549297972893482,0.438317297020321
"MK",0.464981238036443,0.522063346760466,0.529925589964722,0.851852385924638,1,0.621833401881426,0.598721328258539,0.538975369255745,0.362982166930596,0.942968243568418,0.573772309495589,0.406515930696094,0.447311844245662
"RESISTIN",0.747545093790812,0.738843497925286,0.76665174301642,1,0.902709957811985,0.721411502064407,0.830497556687884,0.635116429450775,0.779011998210291,0.512550888054695,0.840345154965759,0.6795602361597,0.679758793232333
"CD45",0.00131493270559299,0.00129900656919709,NA,NA,1,0.00146353254409699,0.463215905210306,NA,0.00104220844300628,0.00178839287668284,NA,NA,NA
"FN1",0.491927648748529,0.543126372238872,0.501520387022421,0.92566471795336,1,0.719450007760544,0.744724075065787,0.437031127904713,0.383843200979033,0.749002324766614,0.631247265085693,0.13754767906736,0.458545007699362
"COLLAGEN",0.495621417350528,0.633116574678116,0.414327227614672,0.841458214966329,0.804021301669954,0.666498213431377,0.606082091349106,0.492738044423762,0.386364584856776,1,0.498611188474511,0.160482708825278,0.468052011185859
"EGF",0.126085788650002,0.125473455505834,0.122170230408486,0.127679937609408,0.116719035452669,0.140890705911026,0.116309450838549,0.106354770424493,0.127222209858382,1,0.100205500707959,0.107319114843847,0.129780311400523
"THBS",0.164263686661855,0.356083532227343,0.164211758175435,0.540210518830942,0.63295398311064,0.155868942600539,0.309446411067916,0.510585435265612,0.173116436521956,1,0.315827180647719,0.558506556016857,0.141737156532523
"IFN-II",NA,NA,NA,0.911946232399092,0.991518834491918,NA,0.944244567936622,0.283537044866817,NA,0.372596620049395,1,NA,0.347726728317587
"IL16",0.185351114699608,0.466527305985817,0.0398330505810421,0.596098895257106,0.850628085212498,0.917774736019639,0.918218225193182,0.275874637784271,0.0386780993935448,0.0182538055882543,0.534860168072936,1,0.160002918238971
"VTN",0.115530383380122,0.15991506987586,0.129395775970087,0.981337174079424,1,0.268315828502389,0.770516105168768,0.106096894556634,0.0118916982175197,0.425878385581344,0.633058960786975,0.368126210799069,0.598716423573631
"BAFF",0.00154416379158903,0.00184152277206931,0.00115413937736554,1,0.911032926126418,0.00576272400343403,0.996733161552124,0.949870748338714,0.00147913122441661,0.0129957549040189,0.609476105523527,0.339887571621663,0.00401385977503524
"LAIR1",NA,NA,NA,0.299339527049015,0.683249509422897,NA,0.666540714854053,NA,NA,NA,NA,1,NA
"SEMA7",0.274021115627012,0.464130652201949,0.292285366410154,0.625671750205023,0.914990437396824,0.562739871312499,0.818277461125812,0.235955272165244,0.0516550573011473,0.473673435245281,1,0.801146211850586,0.255994322189283
"SPP1",0.494614701379796,0.567575449314101,0.488014874457991,0.943419169579628,1,0.719905668565065,0.77387217626578,0.387054264075415,0.364851942965176,0.47629311973953,0.595231613107346,0.208878598175152,0.569912037347749
"PECAM1",NA,NA,NA,1,0.814351140682415,NA,0.309669033488363,0.344789835742935,NA,NA,0.32975638533422,0.38073062563254,NA
"BTLA",0.287103878795739,0.296640129799172,0.365489139145875,0.377500528512048,1,0.463299472419463,0.884460881970494,0.406254827813637,0.313052045282124,NA,0.970085647852525,0.195305616635784,0.258071625491527
"LIGHT",0.184423610128024,0.190156377646843,0.273412453742772,0.549840658956869,0.996196896333647,0.318346279873715,0.944930041898657,0.290415311360421,0.235380372296389,0.714172221174262,1,0.152000459665591,0.165482175124444
"APRIL",0.000337303876808993,0.000402268108928721,0.000273545085948837,1,0.909830269795218,0.00125839560721544,0.994129846523195,0.766515710733199,0.000327374553377169,0.00283869763967683,0.563238757140763,0.347285499924614,0.000876955835406755
"CD6",0.699233305364363,0.82043174712939,NA,0.296667631016372,1,0.253451956172802,0.34035972399298,NA,0.827961715841289,NA,0.085366490583622,NA,NA
"CD86",0.143940332524833,0.20165425068268,0.001002826961737,0.0438243520744956,0.0709796272219363,1,0.0620553188303457,NA,0.180963716556148,0.00234036319255161,0.0432937197968448,NA,NA
"JAM",0.510261910646145,0.175780483599484,0.718703622730728,0.488422767090396,0.850608743829366,0.267753149205742,0.772671234828371,0.149821431276907,0.302838044258036,0.276882404135476,1,0.236666551905083,0.181112645821727
"VEGF",0.0229778544650072,0.0130557751423066,0.0110115288496463,0.657595782487614,1,0.0373054935275954,0.964823526321494,0.00752050525524986,0.0127202221068223,0.411136515277971,0.0841982231876231,0.154247871975091,0.208125990416799
"SEMA4",0.042864318773735,0.041634795246749,0.0362923833065287,0.0416537934131292,0.659864014182743,0.0317223256532183,1,0.00110675007169016,0.0438449870959611,0.456291292584261,0.355287269664392,0.449024028734736,0.0443046005504538
"IL1",0.000243710967500301,0.000251949319202302,0.000254473875193261,0.681453112604776,0.42208490572199,0.0307569865325313,1,0.000370899913192227,0.000249216876266818,0.000408542067633986,0.394779111312468,0.00067743162941399,0.00346384873645028
"TNF",0.482500461640159,0.199687477349484,0.520734114309086,1,0.816750483916661,0.480643708071024,0.92654393191926,0.0176228891514432,0.521342884355901,0.123051338633838,0.631450135781354,0.445011404368478,0.0131488760619693
"IL10",NA,NA,NA,0.698973825583629,1,NA,0.663235371076156,NA,NA,0.0535161561771587,0.612753614496425,NA,NA
"CEACAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"CD40",0.0873798658212213,0.169254475978821,0.0959749152358592,0.810797844830621,1,0.190849119399122,0.635264061401983,0.216748402966527,0.0385318039400398,0.1620571511202,0.532922121219677,0.0636612725882437,0.0889861438187233
"PECAM2",NA,NA,1,NA,NA,NA,NA,0.887067145441418,NA,NA,0.720862265205857,NA,0.992372931742642
"PLAU",7.50160148537615e-05,8.84336727874191e-05,7.1441871342636e-05,1,0.850297716272076,7.59110069584354e-05,0.884917978959375,5.94934018166953e-05,NA,0.167474426536633,0.794803030118736,0.616317163872268,0.731886862187202
"CSF",0.00730927161303969,0.00738778422205894,0.00512334452221625,0.815596431293845,1,0.0102725001422576,0.791059657990901,0.00203384803504881,0.00684131856081722,0.00988292719779332,0.002254853593385,0.00355769239434073,0.0448026719634246
"CDH1",0.948600593309394,0.410895219744331,0.264376280893008,0.596268409634169,0.984878075114735,0.89200015174634,0.90842227783941,0.514311467118994,0.862610689986966,0.881035155071917,1,0.388751699069137,0.455632437047171
"PARs",0.00290144914137784,0.00186779613618464,0.897149212206053,0.00201605383579566,0.00263902500390131,0.00283453697022393,0.00211440958919647,0.001317319252481,0.00176393683749814,1,0.00184951224329742,0.00174741280400823,0.00199163025857691
"CD96",NA,NA,0.37417757514321,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"GDF",0.755236737656147,0.816856080199587,0.802114214404038,0.767905280828432,1,0.261085445239235,0.777313249788032,0.39689236817529,0.539134247271778,0.442788346513031,0.363375833589985,0.96163696535165,0.295644287685694
"FLT3",0.0334068830115854,0.082193594108293,NA,NA,0.0214604606193431,0.0316520683552466,0.718426901402915,NA,0.0740192426612077,NA,1,0.271649020841858,NA
"GRN",0.0283333799620131,0.0293422113097991,0.0314090299043341,0.221134278513681,1,0.0276214193731843,0.0915580237055553,NA,0.0296256576926265,0.150912187400858,0.027071897393856,0.166688360818599,NA
"IL6",0.0473415835649071,0.225680602069131,NA,0.83138410046433,1,0.759809603213994,0.782305066172647,0.0462726914334326,NA,0.120214425756618,0.888574420421509,0.182147277448087,0.0858023504638193
"SIRP",0.428286766656277,1,0.358550156807254,0.174058701268709,0.777271192193256,0.298194146712018,0.836834752878236,0.891209422612123,0.33250018550498,0.522764989524951,0.855469683768827,0.939929569543629,0.184721681245569
"COMPLEMENT",0.260362923466998,0.269119502448025,0.331195019488371,0.97387911828326,1,0.255508163197826,0.662803085858063,0.126478799785205,0.253145528446836,0.0298830130839113,0.399186143773534,0.130095028764443,0.124281512430608
"GAS",0.00481036394490721,0.00497324799597844,0.00480100911348832,0.00604367838608866,1,0.00460706441406105,0.811877451685057,0.130178614050311,0.0049565802429023,0.118095177586179,0.117651666249286,0.614078904658488,0.00499658919837474
"CD160",0.456389894442341,0.471437755235042,0.579867774334359,0.598746492387162,0.986890360754483,0.610641880436004,0.913994710198913,0.584286403774329,0.497318486098164,0.282505397204838,1,0.373449524290672,0.410534150730913
"CADM",0.230690991227384,NA,0.219284046256805,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"CD80",0.0917368896044186,0.176572012212736,NA,0.0383626778403275,0.0527794752261062,1,0.0544753336527647,NA,0.158419360557506,NA,0.0378950630691171,NA,NA
"LCK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSF3",0.00266760166054298,0.00276468921363011,0.00266352795333089,1,0.722603743108467,0.00255570719535942,0.811457287031237,0.00232831876129622,0.00275128689950466,0.00287065229854902,0.00305793103263622,0.00277386024318383,0.00277672894179863
"ANGPTL",0.0958501591977349,0.169135120702361,0.10590322905004,0.790963986476838,0.936793859145464,0.206950835951222,0.320367880648747,0.318692505217985,0.0405821187668179,1,0.202526983161512,0.0707041078074336,0.102021818215952
"CLDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ICOS",0.221402483114721,0.278151400073043,0.00213271522365415,0.0253042533468794,0.0403363332125101,1,0.0358049385268372,0.00123935487057584,0.0976869980410044,0.00369808302688323,0.0245265723691009,0.00152040722252641,0.00288861234054551
"IGFBP",0.21165521326745,0.26849364800245,0.226604692055971,0.816807009316616,0.95337250385398,0.235935187278227,1,0.227230163076926,0.229503635884521,0.632075157154321,0.972709196560607,0.693849302305348,0.234598559477081
"CALCR",NA,NA,NA,NA,NA,NA,0.14282169799291,NA,NA,0.103228017799619,1,0.789437641664424,NA
"OX40",NA,0.196830805062532,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.377639330882201
"TWEAK",0.0346876823527884,0.0301559719274723,0.0308216596127663,0.0614150416759775,0.330394160814626,0.0474104922793135,0.0631752105134793,0.0325833473266619,0.0345088751827153,1,0.0539291382763532,0.0311144053273491,0.530394395857924
"PVR",NA,NA,0.357077649054853,NA,NA,1,NA,NA,NA,NA,0.402259253219995,NA,NA
"IGF",0.0597292558455279,0.178764810218905,0.0624336841143126,0.481971757171088,0.471113299373195,0.150743155064724,0.150322506889078,0.0574692754263729,0.00999268872111223,0.609698685182214,0.136355401719399,1,0.0553135496336994
"BAG",NA,NA,0.840444438652073,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
