gene,term_id
PKM,REACTOME:R-HSA-1430728
PKM,REACTOME:R-HSA-1500931
PKM,REACTOME:R-HSA-168249
PKM,REACTOME:R-HSA-168256
PKM,REACTOME:R-HSA-418990
PKM,REACTOME:R-HSA-421270
PKM,REACTOME:R-HSA-446728
PKM,REACTOME:R-HSA-6798695
PKM,REACTOME:R-HSA-70171
PKM,REACTOME:R-HSA-70268
PKM,REACTOME:R-HSA-70326
PKM,REACTOME:R-HSA-71387
PKM,REACTOME:R-HSA-9759476
PKM,REACTOME:R-HSA-9764265
PKM,REACTOME:R-HSA-9764274
PKM,REACTOME:R-HSA-9764560
PKM,REACTOME:R-HSA-9764725
PKM,REACTOME:R-HSA-9861718
PLEC,REACTOME:R-HSA-109581
PLEC,REACTOME:R-HSA-111465
PLEC,REACTOME:R-HSA-1474244
PLEC,REACTOME:R-HSA-1474290
PLEC,REACTOME:R-HSA-1500931
PLEC,REACTOME:R-HSA-2022090
PLEC,REACTOME:R-HSA-264870
PLEC,REACTOME:R-HSA-446107
PLEC,REACTOME:R-HSA-446728
PLEC,REACTOME:R-HSA-5357801
PLEC,REACTOME:R-HSA-75153
PLIN2,REACTOME:R-HSA-1430728
PLIN2,REACTOME:R-HSA-1632852
PLIN2,REACTOME:R-HSA-1989781
PLIN2,REACTOME:R-HSA-212165
PLIN2,REACTOME:R-HSA-400206
PLIN2,REACTOME:R-HSA-556833
PLIN2,REACTOME:R-HSA-74160
PLIN2,REACTOME:R-HSA-9612973
PLIN2,REACTOME:R-HSA-9613354
